  id   ;                 name                 ;new name;           username            ;new username;                             url                             ; iso ;new country;check;A revoir;
   361 ; She wear fashion                     ;She wears fashion; Shewearfashion                ;Shewearsfashion; http://www.shewearsfashion.com                              ; GB;GB;OK;;
   451 ; Feeling vague                        ;Feeling Vague; Feelingvague                  ;FeelingVague; http://feelingvague.blogspot.com                            ; GB;GB;OK;;
   474 ; Magdarling                           ; Magdarling                    ; Magdarling                    ; Magdarling                    ; http://magdarling.blogspot.com                              ; GB;GB;OK;;
   407 ; Amy Valentine                        ; Amy Valentine                        ; AmyValentine                  ; AmyValentine                  ; http://www.amyvalentine.co.uk                               ; GB;GB;OK;;
   528 ; Jessthetics                          ; Jessthetics                          ; Jessthetics                   ; Jessthetics                          ; http://www.jessthetics.wordpress.com                        ; GB;GB;OK;;
   990 ; Fashion Vibe                         ; Fashion Vibe                         ; Fashionvibe                   ; Fashionvibe                   ; http://www.fashionvibe.net                                  ; GB;GB;OK;;
   371 ; Repeat piece                         ;Repeat Piece; RaRa                          ;RepeatPiece; http://repeatpiece.blogspot.co.uk                           ; GB;GB;OK;;
   468 ; The provocative couture              ;The Provocative Couture; Theprovocativecouture         ;TheProvocativeCouture; http://www.theprovocativecouture.com                        ; GB;GB;OK;;
   484 ; Tamara Kalinic                       ;Glam and Glitter; TamaraKalinic                 ;glamandglitter; http://www.theglamandglitter.com                            ; GB;GB;OK;;
   364 ; Lydia Elise Millen                   ; Lydia Elise Millen                   ; LydiaEliseMillen              ; LydiaEliseMillen              ; http://www.lydiaelisemillen.com                             ; GB;GB;OK;;
   372 ; Flower Perdew                        ;Flour Shur; FlowerPerdew                  ;FlourShur; http://flourshur.com                                        ; GB;GB;OK;;
   376 ; Right up my street                   ;Right Up My Street; Rightupmystreet               ;RightUpMyStreet; http://right-up-my-street.blogspot.com                      ; GB;GB;OK;;
   515 ; Soon Trend                           ; Soon Trend                           ; SoonTrend                     ; SoonTrend                     ; http://www.soontrend.com                                    ; GB;GB;OK;;
   360 ; Bisous Natasha                       ; Bisous Natasha                       ; BisousNatasha                 ; BisousNatasha                 ; http://www.bisousnatasha.com                                ; GB;GB;OK;;
   433 ; Carmelatte                           ; Carmelatte                           ; Carmelatte                    ; Carmelatte                           ; http://carmelatte.co.uk                                     ; GB;GB;OK;;
   540 ; Charl Ellis                          ;Captain Ch-ARGH-ley; CharlEllis                    ;CaptainCh-ARGH-ley; http://captaincharghley.blogspot.com                        ; GB;GB;OK;;
   495 ; Clothes drawer                       ;Clothes Drawer; Clothesdrawer                 ;ClothesDrawer; http://clothesdrawer.blogspot.co.uk                         ; GB;GB;OK;;
   422 ; Van Anh L.                           ;chopstick panorama; VanAnhL.                      ;chopstickpanorama; http://chopstickpanorama.blogspot.com                       ; GB;GB;OK;;
   536 ; Tea Toast Fashion                    ; Tea Toast Fashion                    ; TeaToastFashion               ; TeaToastFashion               ; http://teatoastfashion.blogspot.com                         ; GB;GB;OK;;
   401 ; Practical Queenap                    ;Practical Queen AP; AnnaPuzova                    ;PracticalQueenAP; http://www.practicalqueenap.com                             ; GB;GB;OK;;
   510 ; Helloo Monica                        ; Helloo Monica                        ; HellooMonica                  ; HellooMonica                  ; http://www.helloomonica.com                                 ; GB;GB;OK;;
   415 ; Ella la petite Anglaise              ;La Petite Anglaise; EllalapetiteAnglaise          ;LaPetiteAnglaise; http://ella-lapetiteanglaise.com                            ; GB;GB;OK;;
   367 ; Doniaz.nl                            ;Donja Donia; Doniaz.nl                     ;DonjaDonia; http://www.doniaz.nl                                        ; GB;GB;OK;;
 13343 ; 5 inch and up                        ; 5 inch and up                        ; 5inchandup                    ; 5inchandup                    ; http://5inchandup.blogspot.fr                               ; GB;GB;OK;;
   429 ; Daisies and DMs                      ; Daisies and DMs                      ; DaisiesandDMs                 ; DaisiesandDMs                 ; http://doodleheartx.blogspot.co.uk                          ; GB;GB;OK;;
   432 ; Article 21                           ; Article 21                           ; Article21                     ; Article21                     ; http://sindy-ng.blogspot.co.uk                              ; GB;GB;OK;;
   522 ; Step into my closet                  ;Step Into My Closet; Stepintomycloset              ;StepIntoMyCloset; http://stepintomycloset.blogspot.co.uk                      ; GB;GB;OK;;
   423 ; Miss playground                      ;missplayground; Missplayground                ;missplayground; http://missplayground.blogspot.co.uk                        ; GB;GB;OK;;
   388 ; Katarina  Vidic                      ;Katiquette; KatarinaVidic                 ;Katiquette; http://katiquettestyle.blogspot.com                         ; GB;RU;OK;;
   493 ; Style of a London tall girl          ; Style of a London Tall Girl          ; StyleofaLondontallgirl        ; StyleofaLondonTallGirl          ; http://styleofalondontallgirl.blogspot.com                  ; GB;GB;OK;;
   435 ; Camila Carril                        ; Camila Carril                        ; CamilaCarril                  ; CamilaCarril                  ; http://www.camilacarril.com                                 ; GB;GB;OK;;
   398 ; Katie P                              ;The Gravity And She; KatieP                        ;TheGravityAndShe; http://thegravityandshe.blogspot.co.uk                      ; GB;GB;OK;;
  7311 ; Anisa                                ;Anisa Sojka; Anisa                         ;AnisaSojka; http://anisasojka.com                                       ; GB;GB;OK;;
   421 ; Toni Caroline                        ;Fashion Your Seatbelts; ToniCaroline                  ;FashionYourSeatbelts; http://www.fashionyourseatbelts.net                         ; GB;GB;OK;;
   375 ; Julia Shutenko                       ; Julia Shutenko                       ; JuliaShutenko                 ; JuliaShutenko                 ; http://www.juliashutenko.com                                ; GB;GB;OK;;
   546 ; Gema L                               ;fashion frame; GemaL                         ;fashionframe; http://fashionframebygema.blogspot.co.uk                    ; GB;GB;OK;;
   448 ; Fashion girl                         ;Fashion Girl; Fashiongirl                   ;FashionGirl; http://fashiongirl134.blogspot.com                          ; GB;GB;OK;;
   491 ; Cute to the fashion                  ;The Quirky Queer; Cutetothefashion              ;TheQuirkyQueer; http://muccycloud.blogspot.co.uk                            ; GB;GB;OK;;
   436 ; Notes                                ;Notes; Notes                         ; Notes                         ; http://noteslamode.blogspot.co.uk                           ; GB;GB;OK;;
   420 ; Angelika EM                          ;Angelika Em; AngelikaEM                    ;AngelikaEm; http://angelikamartko.blogspot.co.uk/                 ; GB;GB;OK;;
   416 ; The Little Magpie                    ; The Little Magpie                    ; TheLittleMagpie               ; TheLittleMagpie               ; http://amybell-thelittlemagpie.blogspot.com                 ; GB;GB;OK;;
   490 ; Helena L-C                           ;Bell's Fashion; HelenaL-C                     ;Bell'sFashion; http://bellsfashion.blogspot.com                            ; GB;GB;OK;;
   492 ; Annia _                              ;a.; Annia_                        ;a.; http://www.imannia.co.uk                                    ; GB;GB;SUPP;;
